x,y
0,0.133656144
0,0.158939856
0,-3.229053468
0,0.954805258
0,-3.240744033
100,15.47320598
100,13.19359918
100,15.52159386
100,14.61370496
100,15.41997615
200,23.05671722
200,18.90331006
200,19.74879807
200,14.52464611
200,16.69876459
300,21.82251189
300,18.73812379
300,16.69582352
300,21.65414948
300,19.69361824
400,18.36888624
400,21.27739962
400,24.74246858
400,21.66425589
400,23.20478572
500,23.43515648
500,19.26685716
500,22.4302604
500,22.80513962
500,22.22060032
600,24.89079111
600,24.1604042
600,19.45486359
600,23.87147446
600,20.40389746
700,23.32427667
700,23.05777618
700,21.10485737
700,22.90627383
700,25.88658395
800,23.17030681
800,25.84492979
800,24.50126647
800,22.34414682
800,25.24848027
900,23.96882359
900,22.90153052
900,22.56881512
900,19.09792415
900,23.80984839
1000,26.58795875
1000,24.50054585
1000,23.22665721
1000,22.30557154
1000,21.09763063
