x,y
0.226556277,0.371334486
1.776495716,2.50978032
5.957717681,5.796691166
11.88448742,10.11274297
12.04853924,12.46506335
17.22906441,11.42509436
23.42378255,17.96047114
24.91941089,14.42575955
31.13878611,13.30609757
32.46486564,13.45813786
36.95819145,14.55032338
37.49735225,14.21088784
38.64665707,15.64844128
46.59157367,17.23104974
47.59373199,16.37768645
48.40503815,16.29810369
52.90562627,17.83699547
53.86406612,16.84373461
59.72469808,17.26251358
64.51229644,17.36407513
78.69943175,16.76887946
84.294926,17.99590405
87.97938921,18.23007894
90.06050141,20.31730005
90.58306669,17.51043363
90.66453516,17.32239252
103.3455985,16.97080025
108.5886118,19.02726214
109.7721204,19.14646025
110.4955169,18.88047081
126.6929291,20.92789597
129.3557001,18.15634123
133.6532731,18.10623841
135.4681941,17.96007837
136.1225424,20.30282277
139.2056978,18.68762747
142.9559262,20.02286098
143.0781197,20.09662924
147.504248,18.45795864
147.7760052,19.84192389
161.5954303,17.32777507
161.7966444,17.66089397
167.6067609,18.37710784
182.0910082,16.67425863
188.0244287,20.58754255
193.5043283,20.5810861
194.0070018,20.29081174
197.8347349,17.87628966
197.9647939,18.5846671
198.4781458,18.35772854
