x,y
3.33401985,0
3.339286543,0
3.368361473,1
3.54537201,1
3.65951768,1
3.793257573,0
3.871047502,0
3.942991931,0
4.084565476,1
4.112184898,1
4.269115863,1
4.355672162,1
4.450322653,1
4.482396394,1
4.505060781,1
4.588383436,1
4.644949776,1
4.688183545,1
4.77633786,1
4.891569606,1
5.208530607,1
5.300002631,0
5.301466833,0
5.328092583,1
5.383967872,1
5.392757691,1
5.440910753,1
5.442756782,1
5.479594722,1
5.485249399,1
5.528244365,1
5.977369402,1
6.092619033,0
6.126043726,1
6.190739288,1
6.20882808,1
6.532004122,1
6.545716343,0
6.626812235,0
6.634261009,0
6.737015337,1
6.842886403,0
7.134250568,0
7.333958755,0
7.345889832,0
7.396130383,0
7.725674985,0
7.74812847,0
7.831957077,0
7.852327575,0
